L	
A1	
U	
P1	
10	
75	
R	
1	

1	126	92	372	0	14
2	136	187	561	0	12
3	146	309	792	0	9
4	131	72	340	0	13
5	131	232	632	0	16
6	116	311	795	0	16
7	131	31	277	0	12
8	136	43	295	0	16
9	131	68	334	0	11
10	121	253	704	0	10
11	146	230	629	0	8
12	131	98	383	0	14
13	121	142	489	0	20
14	141	64	328	0	10
15	141	56	316	0	10
16	146	24	264	0	20
17	141	305	786	0	9
18	136	110	401	0	11
19	126	81	356	0	18
20	146	312	796	0	16
21	146	113	406	0	20
22	131	166	527	0	9
23	141	143	491	0	13
24	141	10	243	0	18
25	126	260	714	0	9
26	146	358	869	0	11
27	126	182	553	0	9
28	116	30	275	0	15
29	136	229	628	0	19
30	141	65	330	0	8
31	141	125	464	0	10
32	126	87	365	0	8
33	146	51	309	0	11
34	146	302	781	0	11
35	146	301	780	0	19
36	126	152	506	0	19
37	136	211	599	0	10
38	136	124	462	0	19
39	126	347	853	0	18
40	131	163	523	0	8
41	136	245	692	0	18
42	121	15	251	0	19
43	121	95	377	0	10
44	141	46	299	0	13
45	136	318	807	0	16
46	126	170	535	0	17
47	136	223	619	0	20
48	131	239	643	0	13
49	141	160	518	0	9
50	121	177	546	0	12
51	131	49	306	0	18
52	116	172	538	0	13
53	131	243	689	0	20
54	136	120	416	0	15
55	131	323	815	0	17
56	116	280	746	0	16
57	131	146	497	0	14
58	141	23	263	0	17
59	121	193	572	0	16
60	126	82	357	0	18
61	126	248	696	0	8
62	121	127	467	0	12
63	116	294	769	0	11
64	126	62	325	0	10
65	136	39	289	0	8
66	126	346	851	0	13
67	116	335	833	0	18
68	121	214	603	0	19
69	116	354	863	0	16
70	136	3	233	0	10
71	116	86	363	0	11
72	141	195	575	0	10
73	136	140	486	0	11
74	116	285	754	0	17
75	126	199	581	0	16
