Agents: 20
Tasks: 100
Mode: Available
Station: Available
Strategy: Robin

Task Agent Location Time Deadline
1 0 348 0 70
2 1 105 1 71
3 2 192 3 73
4 3 225 4 74
5 4 96 6 76
6 5 207 7 77
7 6 321 9 79
8 7 207 10 80
9 8 228 12 82
10 9 231 13 83
11 10 222 15 85
12 11 72 16 86
13 12 357 18 88
14 13 75 20 90
15 14 201 22 92
16 15 117 23 93
17 16 336 25 95
18 17 114 27 97
19 18 108 29 99
20 19 219 30 100
21 0 81 32 102
22 1 87 34 104
23 2 327 35 105
24 3 351 37 107
25 4 201 39 109
26 5 96 41 111
27 6 84 42 112
28 7 339 44 114
29 8 84 46 116
30 9 78 48 118
31 10 216 50 120
32 11 219 52 122
33 12 357 54 124
34 13 195 56 126
35 14 306 57 127
36 15 186 59 129
37 16 336 61 131
38 17 78 63 133
39 18 231 65 135
40 19 75 66 136
41 0 312 68 138
42 1 324 70 140
43 2 345 72 142
44 3 351 74 144
45 4 324 76 146
46 5 222 78 148
47 6 342 79 149
48 7 108 81 151
49 8 69 83 153
50 9 66 84 154
51 10 102 86 156
52 11 102 88 158
53 12 354 90 160
54 13 72 92 162
55 14 111 94 164
56 15 66 96 166
57 16 81 98 168
58 17 117 100 170
59 18 315 102 172
60 19 81 103 173
61 0 69 105 175
62 1 99 107 177
63 2 345 108 178
64 3 114 110 180
65 4 189 112 182
66 5 198 114 184
67 6 99 116 186
68 7 192 118 188
69 8 309 120 190
70 9 306 122 192
71 10 75 124 194
72 11 348 126 196
73 12 354 128 198
74 13 321 130 200
75 14 327 132 202
76 15 204 134 204
77 16 111 136 206
78 17 225 138 208
79 18 87 140 210
80 19 318 142 212
81 0 84 143 213
82 1 105 144 214
83 2 186 145 215
84 3 198 146 216
85 4 204 147 217
86 5 72 148 218
87 6 342 149 219
88 7 195 149 219
89 8 189 149 219
90 9 69 149 219
91 10 228 150 220
92 11 78 150 220
93 12 318 150 220
94 13 66 150 220
95 14 339 150 220
96 15 309 150 220
97 16 312 150 220
98 17 216 150 220
99 18 87 150 220
100 19 315 150 220
